"term","Estimate","OR","lower_CI","upper_CI","Pr(>|z|)"
"(Intercept)",0.663791861436809,1.94214272586894,1.37958275751742,2.73410083381533,0.000142339297893418
"victim_age",-0.00520460602903304,0.994808914466472,0.988483144004674,1.00117516652088,0.109790135943788
"victim_raceWhite",0.899713536415317,2.45889862534241,1.72688182837965,3.50121377754262,6.03866648452772e-07
"victim_sexMale",-1.03656426258135,0.354671147967648,0.26814303677822,0.469121349232465,3.74421558422275e-13
